#;HY 10/11;HY 11/12;TOTAL
1;NA;NA;0.383633888911914
2;NA;NA;0.530263373241265
3;NA;NA;0.63940123784404
4;NA;NA;0.613274888134024
5;NA;NA;0.717645170273519
8;NA;NA;0.767399655008843
9;NA;NA;0.774722734975498
20;NA;NA;0.840709337462313
24;NA;NA;0.879136602683296
27;NA;NA;0.246223675260848
30;NA;NA;0.765985144307581
32;NA;NA;0.724836004531034
34;NA;NA;0.881847931482194
35;NA;NA;0.805973187469764
38;NA;NA;0.811652831144067
41;NA;NA;0.726959206472915
43;NA;NA;0.861675514635515
46;NA;NA;0.769678791302178
47;NA;NA;0.487950387587333
49;NA;NA;0.40420266628334
50;NA;NA;0.309670965218246
51;NA;NA;0.541036284909876
52;NA;NA;0.779256682034626
53;NA;NA;0.884731304056
60;NA;NA;0.612620848246478
63;NA;NA;0.891338603391412
67;NA;NA;0.852102192068287
74;NA;NA;0.826230478867419
75;NA;NA;0.202241312354094
84;NA;NA;0.519067578906499
85;NA;NA;0.577002358092043
90;NA;NA;0.475546717867759
93;NA;NA;-1.3177919713523
94;NA;NA;0.52543136473499
95;NA;NA;0.513872325288975
96;NA;NA;0.38358835579895
97;NA;NA;0.696244326108698
98;NA;NA;0.577393292043328
99;NA;NA;0.648446152925121
100;NA;NA;0.415016120371985
101;NA;NA;0.538498383176783
102;NA;NA;0.703408108809791
103;NA;NA;0.602823371818583
105;NA;NA;0.705172675984925
109;NA;NA;0.858878738587828
110;NA;NA;0.862543527321482
