"#";"NSEtotal";"KGEtotal";"pBIAStotal";"CORRtotal"
1;0.383633888911914;0.695426473357396;-15.2;0.738526809042149
2;0.530263373241265;0.740947078621063;-15.1;0.792984284665547
3;0.63940123784404;0.62746142999431;-18.9;0.86775467296057
4;0.613274888134024;0.81007929925859;-1.3;0.813084393887298
5;0.717645170273519;0.800012011091042;-10.7;0.862631583787374
8;0.767399655008843;0.833671313482683;-5.2;0.878247658727071
9;0.774722734975498;0.795671028296419;-14.5;0.911885192439735
20;0.840709337462313;0.909356793474552;-4.5;0.925501356636229
24;0.879136602683296;0.900083622065033;-2.7;0.938649706513303
27;0.246223675260848;0.637916729436716;9.8;0.655397641902022
30;0.765985144307581;0.847970829624493;1.3;0.901148495653408
32;0.724836004531034;0.831202403103068;3.5;0.884432759046629
34;0.881847931482194;0.934457679855796;1.3;0.943350014281981
35;0.805973187469764;0.899203786467297;-1;0.901421576928704
38;0.811652831144067;0.854988176072092;3;0.923431375128904
41;0.726959206472915;0.844729875364026;4.3;0.859873685755149
43;0.861675514635515;0.903412783685346;5.9;0.939932438423514
46;0.769678791302178;0.846533162047358;5.6;0.905496075168425
47;0.487950387587333;0.611280836658975;22.1;0.861838371214277
49;0.40420266628334;0.520774063326656;21.9;0.891788341172736
50;0.309670965218246;0.647867712863777;16.8;0.734017710419731
51;0.541036284909876;0.707725794812835;11.5;0.76143316912271
52;0.779256682034626;0.815734939988358;16.2;0.918235292269655
53;0.884731304056;0.910098738242991;6.9;0.951590937552769
60;0.612620848246478;0.532649718731532;-25.1;0.832109242743637
63;0.891338603391412;0.930112020143296;4.8;0.949342836722234
67;0.852102192068287;0.852221133213908;13.9;0.950228733453609
74;0.826230478867419;0.822784215487781;16.3;0.950175106873361
75;0.202241312354094;0.424528448734536;8.7;0.842055024016143
84;0.519067578906499;0.449506129822012;-14.1;0.761185091501968
85;0.577002358092043;0.746349109720866;13;0.827353410996912
90;0.475546717867759;0.527379658525442;24;0.695936974924344
93;-1.3177919713523;0.00915209366895475;21.6;0.608394205385313
94;0.52543136473499;0.691185577154723;21.9;0.790978155304599
95;0.513872325288975;0.745420445084749;-11.5;0.772865143158247
96;0.38358835579895;0.600854449080545;29.9;0.737860004114631
97;0.696244326108698;0.714651171865115;6.8;0.840061557662871
98;0.577393292043328;0.341284282383632;62.3;0.797777796785785
99;0.648446152925121;0.697647816126425;25.6;0.845239555001468
100;0.415016120371985;0.639193030911543;3.3;0.81359306233694
101;0.538498383176783;0.711994573390659;7.7;0.834499111198853
102;0.703408108809791;0.80928334156601;13.4;0.865143501562558
103;0.602823371818583;0.449615932144292;51;0.829866482661894
105;0.705172675984925;0.693432699310385;27.3;0.87775605334342
109;0.858878738587828;0.886974052060611;7.3;0.94365099283101
110;0.862543527321482;0.886765227796718;8.4;0.946350069618182
