num,yyyy,mm,dd,hh,min,QOBS_0001,QOSI_0001,QSIM_0001,QOBS_0002,QOSI_0002,QSIM_0002
1,2009,9,1,0,0,4.25,5.49,5.49,6.72,5.9,6.36
2,2009,9,1,1,0,7.16,5.47,5.47,5.77,6.47,6.34
3,2009,9,1,2,0,5.24,5.46,5.46,5.5,6.74,6.33
4,2009,9,1,3,0,4.4,5.45,5.45,6.28,6.02,6.31
5,2009,9,1,4,0,4.31,5.43,5.43,7.18,5.5,6.3
6,2009,9,1,5,0,4.23,5.42,5.42,6.32,5.26,6.29
7,2009,9,1,6,0,4.15,5.41,5.41,5.6,5.12,6.27
8,2009,9,1,7,0,5.41,5.39,5.39,5.5,5.51,6.26
9,2009,9,1,8,0,7.58,5.38,5.38,5.5,6.79,6.25
10,2009,9,1,9,0,7.52,5.37,5.37,5.5,7.81,6.24
11,2009,9,1,10,0,9.12,5.37,5.37,7.25,8.75,6.23
12,2009,9,1,11,0,12.4,5.36,5.36,8.38,10.73,6.22
13,2009,9,1,12,0,11.4,5.36,5.36,8.97,11.96,6.22
14,2009,9,1,13,0,10.5,5.35,5.35,11.8,11.82,6.21
15,2009,9,1,14,0,8.09,5.35,5.35,11.9,10.64,6.21
16,2009,9,1,15,0,5.27,5.35,5.35,11.5,8.53,6.2
17,2009,9,1,16,0,4.41,5.34,5.34,10.2,6.69,6.2
18,2009,9,1,17,0,4.73,5.33,5.33,8.09,5.91,6.2
19,2009,9,1,18,0,8.57,5.33,5.33,6.65,7.12,6.19
20,2009,9,1,19,0,6.59,5.32,5.32,6.13,7.85,6.18
21,2009,9,1,20,0,6.18,5.31,5.31,7.59,7.44,6.17
22,2009,9,1,21,0,7.55,5.3,5.3,8.75,7.69,6.16
23,2009,9,1,22,0,5.18,5.29,5.29,7.15,7.27,6.15
24,2009,9,1,23,0,4.28,5.27,5.27,8.24,6.16,6.14
25,2009,9,2,0,0,4.2,5.26,5.26,7.59,5.48,6.13
26,2009,9,2,1,0,4.17,5.25,5.25,6.31,5.2,6.12
27,2009,9,2,2,0,4.13,5.25,5.25,5.65,5.07,6.11
28,2009,9,2,3,0,4.09,5.3,5.3,5.59,5,6.12
29,2009,9,2,4,0,4.05,5.51,5.51,5.53,4.95,6.22
30,2009,9,2,5,0,4.01,5.92,5.92,5.46,4.91,6.46
31,2009,9,2,6,0,3.98,6.36,6.36,5.4,4.87,6.82
32,2009,9,2,7,0,3.94,6.62,6.62,5.33,4.83,7.17
33,2009,9,2,8,0,3.9,6.68,6.68,5.27,4.79,7.39
34,2009,9,2,9,0,3.89,6.64,6.64,5.2,4.77,7.47
35,2009,9,2,10,0,6.15,6.55,6.55,5.14,5.58,7.45
36,2009,9,2,11,0,7.69,6.44,6.44,5.09,7.05,7.38
37,2009,9,2,12,0,9.69,6.32,6.32,5.44,8.73,7.28
38,2009,9,2,13,0,10.3,6.21,6.21,7.78,10.1,7.17
39,2009,9,2,14,0,7.5,6.11,6.11,9.25,9.74,7.07
40,2009,9,2,15,0,5.04,6.03,6.03,10.7,7.96,6.97
41,2009,9,2,16,0,4.24,5.96,5.96,9.36,6.36,6.89
42,2009,9,2,17,0,4.11,5.87,5.87,7.77,5.51,6.81
43,2009,9,2,18,0,4,5.79,5.79,6.28,5.12,6.72
44,2009,9,2,19,0,4.85,5.72,5.72,5.74,5.26,6.64
45,2009,9,2,20,0,8.84,5.64,5.64,5.55,7.01,6.57
46,2009,9,2,21,0,7.72,5.58,5.58,5.37,8.29,6.5
47,2009,9,2,22,0,5.04,5.51,5.51,7.41,7.48,6.43
48,2009,9,2,23,0,4.23,5.54,5.54,8.87,6.18,6.4
49,2009,9,3,0,0,4.2,5.85,5.85,7.6,5.47,6.5
50,2009,9,3,1,0,4.16,6.49,6.49,6.18,5.19,6.86
51,2009,9,3,2,0,4.13,7.16,7.16,5.56,5.06,7.41
52,2009,9,3,3,0,4.09,7.56,7.56,5.26,5,7.93
53,2009,9,3,4,0,4.06,7.65,7.65,5.24,4.95,8.27
54,2009,9,3,5,0,4.02,7.58,7.58,5.22,4.91,8.39
55,2009,9,3,6,0,3.99,7.41,7.41,5.19,4.87,8.35
56,2009,9,3,7,0,3.95,7.22,7.22,5.17,4.83,8.22
57,2009,9,3,8,0,3.92,7.02,7.02,5.15,4.8,8.05
58,2009,9,3,9,0,6.55,6.82,6.82,5.13,5.75,7.86
59,2009,9,3,10,0,8.84,6.63,6.63,5.1,7.63,7.67
